,GEOID,num_scouts,scouts_per_tract,female_cub_scouts,male_cub_scouts,female_troop_scouts,male_troop_scouts,female_cub_total,female_troop_total,male_cub_total,male_troop_total,fcubs_per_tract,mcubs_per_tract,ftroops_per_tract,mtroops_per_tract,female_scouts,female_per_tract,male_scouts,male_per_tract,cub_youth_total,troop_youth_total,total_pop,cub_scouts,troop_scouts,cub_per_tract,troop_per_tract,2022_youth_total,2022_scouts_per_tract,2023_difference_total,2023_difference_per_tract
43,36005007600,51,6.447534766118837,21.0,29.0,1.0,0.0,138.0,165.0,226.0,262.0,15.217391304347828,12.831858407079647,0.6060606060606061,0.0,22.0,7.2607260726072615,29.0,5.942622950819672,364.0,427.0,791,50.0,1.0,13.736263736263737,0.234192037470726,0.0,0.0,51.0,6.447534766118837
44,36005007700,3,0.9900990099009901,1.0,2.0,0.0,0.0,114.0,80.0,47.0,62.0,0.8771929824561403,4.25531914893617,0.0,0.0,1.0,0.5154639175257731,2.0,1.834862385321101,161.0,142.0,303,3.0,0.0,1.8633540372670807,0.0,0.0,0.0,3.0,0.9900990099009901
45,36005007800,3,0.20270270270270271,1.0,0.0,2.0,0.0,359.0,537.0,294.0,290.0,0.2785515320334262,0.0,0.37243947858473,0.0,3.0,0.33482142857142855,0.0,0.0,653.0,827.0,1480,1.0,2.0,0.1531393568147014,0.24183796856106407,0.0,0.0,3.0,0.20270270270270271
46,36005007900,10,0.6406149903907752,0.0,5.0,2.0,3.0,285.0,417.0,461.0,398.0,0.0,1.0845986984815619,0.4796163069544364,0.7537688442211055,2.0,0.2849002849002849,8.0,0.9313154831199069,746.0,815.0,1561,5.0,5.0,0.6702412868632708,0.6134969325153374,0.0,0.0,10.0,0.6406149903907752
47,36005008300,4,0.34275921165381323,0.0,3.0,1.0,0.0,92.0,304.0,388.0,383.0,0.0,0.7731958762886598,0.3289473684210526,0.0,1.0,0.25252525252525254,3.0,0.38910505836575876,480.0,687.0,1167,3.0,1.0,0.625,0.1455604075691412,0.0,0.0,4.0,0.34275921165381323
48,36005008400,2,0.45558086560364464,0.0,2.0,0.0,0.0,70.0,124.0,119.0,126.0,0.0,1.680672268907563,0.0,0.0,0.0,0.0,2.0,0.8163265306122449,189.0,250.0,439,2.0,0.0,1.0582010582010581,0.0,1.0,0.22779043280182232,1.0,0.22779043280182232
49,36005008500,6,0.6160164271047228,0.0,1.0,3.0,2.0,317.0,262.0,196.0,199.0,0.0,0.5102040816326531,1.1450381679389312,1.0050251256281406,3.0,0.5181347150259068,3.0,0.7594936708860759,513.0,461.0,974,1.0,5.0,0.1949317738791423,1.0845986984815619,0.0,0.0,6.0,0.6160164271047228
50,36005008600,1,0.21978021978021978,0.0,0.0,1.0,0.0,129.0,106.0,127.0,93.0,0.0,0.0,0.9433962264150944,0.0,1.0,0.425531914893617,0.0,0.0,256.0,199.0,455,0.0,1.0,0.0,0.5025125628140703,0.0,0.0,1.0,0.21978021978021978
51,36005008700,7,0.5200594353640415,0.0,0.0,4.0,3.0,221.0,370.0,397.0,358.0,0.0,0.0,1.0810810810810811,0.8379888268156425,4.0,0.676818950930626,3.0,0.3973509933774834,618.0,728.0,1346,0.0,7.0,0.0,0.9615384615384616,0.0,0.0,7.0,0.5200594353640415
52,36005009000,4,0.5405405405405406,0.0,2.0,1.0,1.0,142.0,137.0,157.0,304.0,0.0,1.2738853503184715,0.7299270072992701,0.3289473684210526,1.0,0.35842293906810035,3.0,0.6507592190889371,299.0,441.0,740,2.0,2.0,0.6688963210702341,0.45351473922902497,2.0,0.2702702702702703,2.0,0.2702702702702703
